,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 早稲田工務店(depot),08:00:00,21:20:00,-,08:53:01,0,-0.0,-0.0,-
1,1,53: 田中,1999-09-28 08:00:00,1999-09-28 17:00:00,09:15:34,09:32:34,15.03,50.0,1.1,11
2,2,52: 高橋,1999-09-28 08:00:00,1999-09-28 17:00:00,09:32:34,09:51:34,15.03,150.0,2.2,11
3,3,54: 谷,1999-09-28 08:00:00,1999-09-28 17:00:00,09:52:13,10:09:13,15.47,50.0,1.1,11
4,4,78: 河合,1999-09-28 08:00:00,1999-09-28 17:00:00,10:18:30,10:35:30,21.65,50.0,1.1,11
5,5,19: Ｐｉｔｔ’ｓ　Ｅｉｇｈｔ,1999-09-28 09:50:00,1999-09-28 15:30:00,10:48:17,11:07:47,30.17,165.0,3.3,11
6,6,68: 吉田,1999-09-28 08:00:00,1999-09-28 17:00:00,11:12:38,11:29:38,33.41,50.0,1.1,11
7,7,67: 山田,1999-09-28 08:00:00,1999-09-28 17:00:00,11:29:38,11:46:38,33.41,50.0,1.1,11
8,8,41: 神谷,1999-09-28 08:00:00,1999-09-28 17:00:00,11:49:50,12:10:50,35.54,165.0,3.3,11
9,9,40: 小倉,1999-09-28 08:00:00,1999-09-28 17:00:00,12:12:29,12:33:29,36.65,165.0,3.3,11
10,10,38: 大野,1999-09-28 08:00:00,1999-09-28 17:00:00,12:36:31,12:53:31,38.67,50.0,1.1,11
11,11,21: ＰＡＴあやせ,1999-09-28 11:10:00,1999-09-28 16:40:00,12:56:36,13:47:36,40.72,1000.0,21.0,11
12,12,35: 有田,1999-09-28 08:00:00,1999-09-28 17:00:00,13:52:59,14:11:59,44.31,150.0,2.2,11
13,13,10: トポス　町田店,1999-09-28 09:30:00,1999-09-28 14:30:00,14:30:00,15:10:00,56.32,580.0,19.0,11
14,14,75: 大池,1999-09-28 08:00:00,1999-09-28 17:00:00,15:26:44,16:33:44,67.48,250.0,5.5,11
15,15,79: 木村,1999-09-28 08:00:00,1999-09-28 17:00:00,16:38:25,16:55:25,70.6,50.0,1.1,11
16,16,0: 早稲田工務店 (return),08:00:00,21:20:00,17:19:45,-,86.82,0,0,-
