,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 精芯传媒有限公司(depot),06:00:00,14:20:00,-,22:46:52,0,-0.0,-0.0,-
1,1,56: 商软冠联传媒有限公司,2020-01-05 06:04:00,2020-01-05 17:35:00,06:04:00,06:21:00,91.61,545.0,7.0,11
2,2,74: 创汇传媒有限公司,2020-01-05 10:39:00,2020-01-05 12:21:00,10:39:00,10:52:00,152.02,949.0,5.0,4
3,3,58: 诺依曼软件信息有限公司,2020-01-05 06:13:00,2020-01-05 17:17:00,10:58:08,11:09:08,156.11,460.0,5.0,11
4,4,82: 思优科技有限公司,2020-01-05 07:15:00,2020-01-05 13:00:00,12:16:57,12:34:57,201.33,955.0,7.0,4
5,5,78: 立信电子科技有限公司,2020-01-05 13:38:00,2020-01-05 15:38:00,13:38:00,13:53:00,218.02,698.0,9.0,4
6,6,91: 富罳网络有限公司,2020-01-05 15:42:00,2020-01-05 16:00:00,15:42:00,15:56:00,246.51,433.0,8.0,11
7,7,94: 商软冠联信息有限公司,2020-01-05 16:30:00,2020-01-05 17:54:00,16:51:48,17:09:48,283.71,986.0,8.0,11
8,8,64: 联软网络有限公司,2020-01-05 16:38:00,2020-01-05 17:58:00,17:34:27,17:45:27,300.14,550.0,9.0,11
9,9,0: 精芯传媒有限公司 (return),06:00:00,14:20:00,21:33:07,-,451.92,0,0,-
