,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 精芯传媒有限公司(depot),06:00:00,14:20:00,-,19:29:10,0,-0.0,-0.0,-
1,1,57: 图龙信息传媒有限公司,2020-01-05 07:41:00,2020-01-05 10:38:00,07:41:00,07:52:00,82.44,882.0,9.0,11
2,2,87: 鑫博腾飞科技有限公司,2020-01-05 06:15:00,2020-01-05 13:19:00,09:36:16,09:54:16,151.95,601.0,8.0,11
3,3,88: 毕博诚科技有限公司,2020-01-05 06:49:00,2020-01-05 11:12:00,10:37:16,10:52:16,180.62,887.0,8.0,4
4,4,44: 数字100科技有限公司,2020-01-05 08:03:00,2020-01-05 15:19:00,11:28:02,11:40:02,204.47,664.0,8.0,4
5,5,12: 联通时科信息有限公司,2020-01-05 12:52:00,2020-01-05 16:45:00,12:55:44,13:05:44,254.94,782.0,9.0,4
6,6,93: 鑫博腾飞科技有限公司,2020-01-05 14:13:00,2020-01-05 14:37:00,14:13:00,14:32:00,297.59,360.0,8.0,4
7,7,25: 良诺科技有限公司,2020-01-05 16:29:00,2020-01-05 17:16:00,16:29:00,16:41:00,310.06,754.0,7.0,4
8,8,1: 维旺明网络有限公司,2020-01-05 06:39:00,2020-01-05 06:48:00,16:53:06,17:09:06,318.13,460.0,9.0,11
9,9,18: 新格林耐特科技有限公司,2020-01-05 06:06:00,2020-01-05 08:37:00,18:59:05,19:13:05,391.45,649.0,5.0,11
10,10,0: 精芯传媒有限公司 (return),06:00:00,14:20:00,00:50:49,-,616.6,0,0,-
