,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 精芯传媒有限公司(depot),06:00:00,14:20:00,-,19:02:35,0,-0.0,-0.0,-
1,1,40: 襄樊地球村信息有限公司,2020-01-05 14:16:00,2020-01-05 16:30:00,14:16:00,14:33:00,203.3,776.0,8.0,4
2,2,63: 明腾网络有限公司,2020-01-05 09:54:00,2020-01-05 15:50:00,14:56:12,15:10:12,218.78,507.0,7.0,4
3,3,30: 超艺传媒有限公司,2020-01-05 12:45:00,2020-01-05 17:40:00,16:17:44,16:33:44,263.79,479.0,7.0,4
4,4,2: 太极科技有限公司,2020-01-05 13:50:00,2020-01-05 15:24:00,17:58:13,18:11:13,320.12,317.0,5.0,4
5,5,33: 戴硕电子传媒有限公司,2020-01-05 15:27:00,2020-01-05 16:20:00,19:07:48,19:26:48,357.84,959.0,8.0,4
6,6,34: 惠派国际公司信息有限公司,2020-01-05 16:58:00,2020-01-05 17:10:00,20:10:54,20:24:54,387.24,789.0,5.0,4
7,7,98: 立信电子信息有限公司,2020-01-05 14:18:00,2020-01-05 17:39:00,20:33:48,20:52:48,393.17,798.0,6.0,4
8,8,71: 鸿睿思博信息有限公司,2020-01-05 16:39:00,2020-01-05 16:45:00,21:15:42,21:28:42,408.44,517.0,5.0,4
9,9,97: 创汇信息有限公司,2020-01-05 07:54:00,2020-01-05 09:48:00,23:21:11,23:40:11,483.43,743.0,8.0,11
10,10,0: 精芯传媒有限公司 (return),06:00:00,14:20:00,04:28:28,-,675.61,0,0,-
