,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 精芯传媒有限公司(depot),06:00:00,14:20:00,-,22:40:40,0,-0.0,-0.0,-
1,1,84: 黄石金承网络有限公司,2020-01-05 10:10:00,2020-01-05 12:28:00,10:10:00,10:20:00,161.41,821.0,7.0,4
2,2,65: 凌云信息有限公司,2020-01-05 06:37:00,2020-01-05 15:27:00,11:06:30,11:17:30,192.41,832.0,6.0,4
3,3,16: 联软网络有限公司,2020-01-05 08:05:00,2020-01-05 14:50:00,11:42:03,11:59:03,208.78,995.0,8.0,11
4,4,9: 凌颖信息网络有限公司,2020-01-05 12:49:00,2020-01-05 16:59:00,12:49:00,13:07:00,219.51,818.0,8.0,11
5,5,81: 迪摩网络有限公司,2020-01-05 13:19:00,2020-01-05 15:14:00,13:46:06,14:04:06,245.59,690.0,9.0,11
6,6,96: 趋势传媒有限公司,2020-01-05 12:28:00,2020-01-05 17:29:00,14:50:07,15:03:07,276.27,936.0,7.0,11
7,7,54: 万迅电脑网络有限公司,2020-01-05 07:59:00,2020-01-05 16:10:00,15:34:33,15:53:33,297.22,843.0,5.0,4
8,8,48: 四通信息有限公司,2020-01-05 16:23:00,2020-01-05 17:30:00,16:55:21,17:12:21,338.41,477.0,9.0,11
9,9,0: 精芯传媒有限公司 (return),06:00:00,14:20:00,21:39:19,-,516.4,0,0,-
